nMachines = 3;
nJobs = 20;
p = [
[0,0,0]
[75, 54, 82]
[123, 133, 102]
[53, 124, 124]
[100, 122, 147]
[93, 117, 62]
[125, 122, 126]
[86, 85, 133]
[110, 55, 100]
[136, 138, 75]
[113, 103, 62]
[146, 108, 138]
[102, 75, 131]
[141, 94, 147]
[59, 143, 115]
[63, 53, 132]
[98, 62, 137]
[82, 91, 112]
[104, 126, 61]
[80, 57, 138]
[62, 50, 65]
];
s = [
[
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
]
[
[0,0,0]
[0,0,0]
[25,21,22]
[21,30,21]
[30,29,17]
[17,17,29]
[31,23,31]
[32,29,20]
[27,32,24]
[26,24,32]
[25,23,19]
[19,32,25]
[18,29,26]
[26,24,30]
[21,30,32]
[23,25,30]
[23,21,27]
[23,21,20]
[19,26,27]
[26,29,29]
[26,22,18]
]
[
[0,0,0]
[22,27,19]
[0,0,0]
[23,21,28]
[17,28,33]
[31,21,28]
[26,26,22]
[31,23,26]
[18,24,17]
[22,30,26]
[22,27,22]
[24,19,29]
[23,19,27]
[25,24,22]
[22,21,19]
[17,20,27]
[31,17,32]
[19,28,30]
[28,26,23]
[30,21,24]
[32,30,22]
]
[
[0,0,0]
[28,31,17]
[23,24,30]
[0,0,0]
[29,22,19]
[19,29,16]
[18,33,25]
[25,22,27]
[26,22,27]
[26,23,29]
[17,27,31]
[30,31,21]
[25,22,33]
[26,32,18]
[22,21,24]
[31,29,20]
[32,21,18]
[31,32,18]
[27,30,32]
[17,32,23]
[18,18,25]
]
[
[0,0,0]
[19,18,17]
[31,22,26]
[24,21,24]
[0,0,0]
[21,31,30]
[25,24,30]
[27,28,27]
[20,17,32]
[33,29,18]
[17,32,27]
[31,17,20]
[30,22,31]
[18,23,26]
[18,32,21]
[29,19,22]
[32,17,30]
[28,29,29]
[29,25,27]
[23,21,24]
[26,26,24]
]
[
[0,0,0]
[20,32,24]
[24,19,20]
[19,22,30]
[26,28,16]
[0,0,0]
[25,28,30]
[28,20,32]
[29,28,18]
[30,29,33]
[25,29,25]
[25,22,24]
[30,26,27]
[23,29,19]
[31,17,26]
[29,26,25]
[31,18,25]
[19,31,21]
[23,20,26]
[28,28,28]
[32,20,22]
]
[
[0,0,0]
[17,22,26]
[33,31,32]
[25,28,24]
[27,27,25]
[21,28,20]
[0,0,0]
[18,17,18]
[21,25,33]
[32,29,22]
[18,29,20]
[23,25,22]
[27,30,33]
[31,28,28]
[31,19,27]
[28,19,22]
[17,28,22]
[20,26,19]
[20,23,24]
[25,21,29]
[27,26,29]
]
[
[0,0,0]
[21,23,23]
[24,26,18]
[31,18,24]
[23,27,28]
[21,31,25]
[22,23,26]
[0,0,0]
[28,28,33]
[26,27,30]
[23,19,29]
[20,28,18]
[23,29,27]
[30,27,18]
[18,22,27]
[22,27,30]
[31,18,33]
[20,31,25]
[23,21,23]
[17,26,31]
[25,18,29]
]
[
[0,0,0]
[33,25,26]
[24,32,22]
[20,30,24]
[22,20,19]
[18,26,26]
