nMachines = 3;
nJobs = 20;
p = [
[0,0,0]
[59, 80, 58]
[95, 147, 62]
[140, 146, 129]
[53, 117, 110]
[99, 86, 115]
[144, 146, 90]
[60, 59, 138]
[140, 89, 141]
[84, 94, 96]
[143, 73, 60]
[68, 104, 93]
[70, 81, 122]
[144, 149, 60]
[137, 66, 119]
[144, 70, 84]
[67, 61, 137]
[71, 77, 106]
[80, 131, 136]
[60, 78, 140]
[109, 121, 84]
];
s = [
[
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
]
[
[0,0,0]
[0,0,0]
[20,20,26]
[24,28,25]
[24,29,25]
[20,29,18]
[19,23,28]
[30,29,18]
[19,32,28]
[33,16,33]
[18,17,17]
[22,24,29]
[19,26,30]
[17,22,33]
[29,19,16]
[17,19,17]
[20,17,19]
[30,28,21]
[16,20,18]
[23,24,18]
[31,30,27]
]
[
[0,0,0]
[28,24,24]
[0,0,0]
[30,27,32]
[22,33,24]
[22,23,33]
[25,26,20]
[33,31,24]
[24,20,32]
[32,24,26]
[18,24,32]
[33,31,21]
[22,31,32]
[22,25,30]
[30,29,32]
[23,26,31]
[30,33,28]
[21,29,32]
[23,22,28]
[30,16,20]
[20,19,28]
]
[
[0,0,0]
[28,23,18]
[23,23,26]
[0,0,0]
[20,27,17]
[33,22,31]
[31,19,20]
[19,19,24]
[28,31,24]
[17,25,21]
[20,32,27]
[33,17,29]
[19,30,24]
[29,23,16]
[24,31,30]
[26,32,27]
[24,20,32]
[28,30,20]
[32,31,27]
[23,32,28]
[33,27,28]
]
[
[0,0,0]
[24,30,21]
[18,21,22]
[31,30,27]
[0,0,0]
[25,24,22]
[17,20,33]
[24,28,28]
[25,23,27]
[29,26,23]
[19,23,25]
[27,21,26]
[21,32,28]
[24,18,32]
[26,27,29]
[16,18,17]
[31,28,28]
[20,23,28]
[27,33,22]
[33,21,29]
[17,25,32]
]
[
[0,0,0]
[18,23,24]
[17,17,21]
[31,26,26]
[25,21,22]
[0,0,0]
[28,20,31]
[28,18,32]
